Name,ID,Centraility,Popularity,Threshold
Claudio Abbado,6HclTVD03WSY6GUpN16BkP,0.03454675609842688,65,15
George Gershwin,1YuknfkSYTTbolRpwZBOv4,0.03360501099844696,57,15
Fritz Kreisler,0HdNDZaNm7xLt18v9aWDfe,0.03347191833285852,48,15
Nikolai Rimsky-Korsakov,2kXJ68O899XvWOBdpzlXgs,0.03297001532430637,52,15
Modest Mussorgsky,284mnx33IWcymQEpMxyfHl,0.03280879923007193,51,15
Unknown Artist,74Ch11L4833kZ9VfyziR3K,0.03274849639379585,42,15
Christa Ludwig,1Jgntox16Lhl0bFoRhV3Ar,0.032214181135834415,40,15
Academy of St. Martin in the Fields,77CaCn32H4mOMQA7UElzfF,0.03182285243285706,67,15
Franz Xaver Gruber,395Z91yDQ05pkMbRKik18y,0.03173280984061981,51,15
Pietro Mascagni,3Z5fRknMBBNfCw6pkgR9S8,0.03125390480545411,50,15
Yvonne Kenny,6Mh6TOKv7l4wRDtQ4rROyC,0.031231677494994663,31,15
Munich Radio Orchestra,0epMHcfPfSyf4QArBZCxWX,0.031196527428894918,46,15
Lucia Popp,6FUbcx4NUDhuIqsmsFyIqJ,0.031151291675655782,39,15
Staatskapelle Dresden,3Vfvyx6OouTxYU3emXonW7,0.03093045435216508,54,15
Anne Sofie von Otter,4pFlv4QVInj7bAo0MqHpwW,0.030899380949276637,50,15
Barbara Hendricks,3NkCIDMU5HgFAyVLVdCWgE,0.030535803751481964,39,15
Fritz Wunderlich,3jp4zawfeVYVpSzO2Yujbv,0.030534419266956856,43,15
Elisabeth Schwarzkopf,0B94ekfBARqVS2gwrTnvJ6,0.03047800592153493,39,15
Samuel Barber,4XDJurjQCnWLlE7KLZCT9x,0.030223941949205826,57,15
Georg Philipp Telemann,2fg5h5pzleqI4RjFopWroj,0.030215130914557724,56,15
Sir Neville Marriner,6NUhQz7eAEsZvjEHTKHux9,0.029927897324152557,66,15
José Carreras,1ahGKezyX9Rl7GuEF2tc15,0.029892510899819667,54,15
Gustav Holst,5B7uXBeLc2TkR5Jk23qKIZ,0.029861749096926755,56,15
Sir Colin Davis,0TrG2LSot4KhaXqdf5K2zE,0.029612977165203738,60,15
Royal Concertgebouw Orchestra,2HqNckz4bPVT37fWkhugTZ,0.029374806310870694,59,15
Dame Joan Sutherland,57ut70dPEUxC1dk83YY3hY,0.0293140727654728,51,15
John Rutter,0qlhpgr87PEG89Jd5iRpxe,0.02910528883444687,63,15
Anton Bruckner,2bM3j1JQWBkmzuoZKu4zj2,0.028947823955725975,50,15
Dame Janet Baker,4ThA3BeHNucwqI7wKyKS8h,0.028774687910668364,38,15
Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS,0.230451256161834,78,16
Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408,0.1932542673090719,81,16
Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,0.15602632599515126,76,16
Johannes Brahms,5wTAi7QkpP6kp8a54lmTOq,0.13758845063673736,67,16
Franz Schubert,2p0UyoPfYfI76PCStuXfOP,0.13446657988850938,68,16
George Frideric Handel,1QL7yTHrdahRMpvNtn6rI2,0.13066688770289644,70,16
Felix Mendelssohn,6MF58APd3YV72Ln2eVg710,0.1173898874511086,63,16
Giuseppe Verdi,1JOQXgYdQV2yfrhewqx96o,0.1106861179605848,64,16
Pyotr Ilyich Tchaikovsky,3MKCzCnpzw3TjUYs2v7vDA,0.1072921954443751,73,16
Traditional,1U5zgr455OGyIkLNXvDdrf,0.09997234295281493,70,16
Robert Schumann,2UqjDAXnDxejEyE0CzfUrZ,0.09711055487019173,63,16
Anonymous,4kCZ5nyurc9eIqLJfUcW0Y,0.0962066795513374,61,16
Franz Joseph Haydn,656RXuyw7CE0dtjdPgjJV6,0.08887534664307384,62,16
Richard Wagner,1C1x4MVkql8AiABuTw6DgE,0.08663216507471755,60,16
Richard Strauss,6pAwHPeExeUbMd5w7Iny6D,0.08258751924111782,56,16
Claude Debussy,1Uff91EOsvd99rtAupatMP,0.0757675662406718,71,16
Antonín Dvořák,6n7nd5iceYpXVwcx8VPpxF,0.07512382024253421,63,16
Maurice Ravel,17hR0sYHpx7VYTMRfFUOmY,0.07460345773686669,63,16
Antonio Vivaldi,2QOIawHpSlOwXDvSqQ9YJR,0.0745325029126888,72,16
Gioachino Rossini,0roWUeP7Ac4yK4VN6L2gF4,0.07186374825912346,57,16
Georges Bizet,2D7RkvtKKb6E5UmbjQM1Jd,0.07163835223076838,58,16
